avtor,ocena,stevilo_ocen,stevilo_strani,cas_branja,nagrajena,id,naslov,url
Maja B. Kranjc,4.3,4,245,8-9 ur,True,kjer-tece-kosuta,Kjer teče košuta,https://www.dobreknjige.si/knjige/kjer-tece-kosuta/
Stephen King,0.0,0,267,8-9 ur,False,revolveras,Revolveraš,https://www.dobreknjige.si/knjige/revolveras/
Avgust Demšar,4.5,2,279,9-10 ur,False,zadnja-vecerja-likovne-krimi-kratke-zgodbe,Zadnja večerja : likovne krimi kratke zgodbe,https://www.dobreknjige.si/knjige/zadnja-vecerja-likovne-krimi-kratke-zgodbe/
Claire Keegan,5.0,4,78,2-3 ur,False,v-zadnjem-trenutku-zgodbe-o-zenskah-in-moskih,V zadnjem trenutku : zgodbe o ženskah in moških,https://www.dobreknjige.si/knjige/v-zadnjem-trenutku-zgodbe-o-zenskah-in-moskih/
Vid Simoniti,0.0,0,477,15-16 ur,False,optimisti-roman,Optimisti: roman,https://www.dobreknjige.si/knjige/optimisti-roman/
Tea Tulić,0.0,0,117,3-4 ur,True,mrhovinarji-starega-sveta,Mrhovinarji starega sveta,https://www.dobreknjige.si/knjige/mrhovinarji-starega-sveta/
Amity Gaige,4.4,5,348,11-12 ur,False,srcevina-roman,Srčevina : roman,https://www.dobreknjige.si/knjige/srcevina-roman/
Dan Simmons,4.3,3,497,16-17 ur,True,hiperion-2,Hiperion,https://www.dobreknjige.si/knjige/hiperion-2/
Samo Rugelj,3.0,2,185,6-7 ur,False,parenzana-ekspres-trije-mozje-se-klatijo-po-stari-istrski-progi,Parenzana ekspres : trije možje se klatijo po stari istrski [...],https://www.dobreknjige.si/knjige/parenzana-ekspres-trije-mozje-se-klatijo-po-stari-istrski-progi/
Veronika Simoniti,5.0,2,203,6-7 ur,False,kako-umirajo-ladje,Kako umirajo ladje,https://www.dobreknjige.si/knjige/kako-umirajo-ladje/
Suad Amiry,0.0,0,119,3-4 ur,False,kapucino-v-ramali-vojni-dnevnik,Kapučino v Ramali : vojni dnevnik,https://www.dobreknjige.si/knjige/kapucino-v-ramali-vojni-dnevnik/
Nika Nikolič,3.5,2,180,6-6 ur,False,zataknjeni-v-vezju,Zataknjeni v vezju,https://www.dobreknjige.si/knjige/zataknjeni-v-vezju/
Tom Sharpe,0.0,0,283,9-10 ur,False,hrupna-druscina,Hrupna druščina,https://www.dobreknjige.si/knjige/hrupna-druscina/
Najib Mahfuz,0.0,0,294,9-10 ur,True,pravi-cudez,Pravi čudež,https://www.dobreknjige.si/knjige/pravi-cudez/
Lea Ypi,0.0,0,365,12-13 ur,False,pokoncna-zivljenje-na-prelomu-zgodovine,Pokončna : življenje na prelomu zgodovine,https://www.dobreknjige.si/knjige/pokoncna-zivljenje-na-prelomu-zgodovine/
Jim Thompson,5.0,4,240,8-8 ur,False,morilec-v-meni,Morilec v meni,https://www.dobreknjige.si/knjige/morilec-v-meni/
Pia Prezelj,4.7,6,147,4-5 ur,False,bili-smo-trije,Bili smo trije,https://www.dobreknjige.si/knjige/bili-smo-trije/
Irena Štaudohar,4.5,2,291,9-10 ur,False,globoko-v-gozdu-o-intimnem-in-divjem,Globoko v gozdu : o intimnem in divjem,https://www.dobreknjige.si/knjige/globoko-v-gozdu-o-intimnem-in-divjem/
Giuseppe D&#8217;Agata,4.8,4,,,False,znak-ukaza-misticni-triler,Znak ukaza : mistični triler,https://www.dobreknjige.si/knjige/znak-ukaza-misticni-triler/
Helena Pielichaty,0.0,0,175,5-6 ur,False,nikoli-in-nikdar,Nikoli in nikdar,https://www.dobreknjige.si/knjige/nikoli-in-nikdar/
Clare Azzopardi,5.0,2,257,8-9 ur,False,inspektor-castillo-2,Inšpektor Castillo,https://www.dobreknjige.si/knjige/inspektor-castillo-2/
Fredrik Backman,4.8,8,454,15-16 ur,False,moji-prijatelji,Moji prijatelji,https://www.dobreknjige.si/knjige/moji-prijatelji/
Mirana Likar,4.5,2,161,5-6 ur,False,zenska-hisa,Ženska hiša,https://www.dobreknjige.si/knjige/zenska-hisa/
Helena Šuklje,5.0,3,208,6-7 ur,False,blizina-na-recept,Bližina na recept,https://www.dobreknjige.si/knjige/blizina-na-recept/
Nina Majer,5.0,2,411,13-14 ur,False,sampon-v-trezorju-roman,Šampon v trezorju : roman,https://www.dobreknjige.si/knjige/sampon-v-trezorju-roman/
Nikola Huppertz,0.0,0,205,6-7 ur,False,lepa-kot-osmica,Lepa kot osmica,https://www.dobreknjige.si/knjige/lepa-kot-osmica/
Mikel Santiago,4.5,4,460,15-16 ur,False,zadnja-noc-v-tremore-beachu,Zadnja noč v Tremore Beachu,https://www.dobreknjige.si/knjige/zadnja-noc-v-tremore-beachu/
Brina Švigelj-Mérat,3.5,2,132,4-5 ur,False,adios-buenos-aires,Adiós Buenos Aires,https://www.dobreknjige.si/knjige/adios-buenos-aires/
Dina Delić,0.0,0,174,5-6 ur,False,levje-srce-pot-matere-skozi-bolecino-pogum-in-preobrazbo,"Levje srce : pot matere skozi bolečino, pogum in preobrazbo",https://www.dobreknjige.si/knjige/levje-srce-pot-matere-skozi-bolecino-pogum-in-preobrazbo/
Solvej Balle,4.0,2,204,6-7 ur,True,o-prostornini-casa-3,O prostornini časa 3,https://www.dobreknjige.si/knjige/o-prostornini-casa-3/
Alida Bremer,0.0,0,295,9-10 ur,False,sanje-in-kulise,Sanje in kulise,https://www.dobreknjige.si/knjige/sanje-in-kulise/
Goran Marković,0.0,0,129,4-5 ur,False,doktor-d-2,Doktor D.,https://www.dobreknjige.si/knjige/doktor-d-2/
Ag Apolloni,0.0,0,118,3-4 ur,False,iskra-upanja-iskra-vzigalice-dokumentarni-roman,"Iskra upanja, iskra vžigalice : dokumentarni roman",https://www.dobreknjige.si/knjige/iskra-upanja-iskra-vzigalice-dokumentarni-roman/
Karin Erlandsson,0.0,0,167,5-6 ur,False,modra-preja-nordijska-hvalnica-pletenju,Modra preja : nordijska hvalnica pletenju,https://www.dobreknjige.si/knjige/modra-preja-nordijska-hvalnica-pletenju/
Matej Kocjančič,3.6,7,246,8-9 ur,False,najin-odpeti-slucaj-2,Najin odpeti slučaj,https://www.dobreknjige.si/knjige/najin-odpeti-slucaj-2/
J. K. Rowling,4.8,6,934,31-32 ur,False,skriti-grob,Skriti grob,https://www.dobreknjige.si/knjige/skriti-grob/
Didier Eribon,0.0,0,241,8-9 ur,False,zivljenje-starost-in-smrt-navadne-delavke,"Življenje, starost in smrt navadne delavke",https://www.dobreknjige.si/knjige/zivljenje-starost-in-smrt-navadne-delavke/
Samantha Harvey,4.4,5,142,4-5 ur,True,v-orbiti,V orbiti,https://www.dobreknjige.si/knjige/v-orbiti/
Agri Ismaïl,5.0,1,412,13-14 ur,False,hiper,Hiper,https://www.dobreknjige.si/knjige/hiper/
Jacqueline Harpman,4.9,8,229,7-8 ur,False,jaz-ki-nisem-nikoli-poznala-moskih,"Jaz, ki nisem nikoli poznala moških",https://www.dobreknjige.si/knjige/jaz-ki-nisem-nikoli-poznala-moskih/
Delphine de Vigan,3.4,8,269,8-9 ur,False,otroci-so-zakon,Otroci so zakon,https://www.dobreknjige.si/knjige/otroci-so-zakon/
James Hollis,5.0,1,200,6-7 ur,False,kriza-srednjih-let-od-stiske-do-smisla,Kriza srednjih let : od stiske do smisla,https://www.dobreknjige.si/knjige/kriza-srednjih-let-od-stiske-do-smisla/
